0.005	0.1
0.015	0.1
0.025	0.1
0.035	0.1
0.045	0.1
0.055	0.1
0.065	0.1
0.075	0.1
0.085	0.1
0.095	0.1
0.105	0.1
0.115	0.1
0.125	0.1
0.135	0.1
0.145	0.1
0.155	0.1
0.165	0.1
0.175	0.1
0.185	0.1
0.195	0.1
0.205	0.1
0.215	0.1
0.225	0.1
0.235	0.100001
0.245	0.100005
0.255	0.100021
0.265	0.100076
0.275	0.10024
0.285	0.100665
0.295	0.101641
0.305	0.103656
0.315	0.107425
0.325	0.113873
0.335	0.124028
0.345	0.138839
0.355	0.158952
0.365	0.18449
0.375	0.21493
0.385	0.249109
0.395	0.28537
0.405	0.321822
0.415	0.35663
0.425	0.388273
0.435	0.415715
0.445	0.438461
0.455	0.456501
0.465	0.470188
0.475	0.48007
0.485	0.486708
0.495	0.490512
0.505	0.491617
0.515	0.489813
0.525	0.484561
0.535	0.475111
0.545	0.4607
0.555	0.440808
0.565	0.415389
0.575	0.38501
0.585	0.350863
0.595	0.314617
0.605	0.278172
0.615	0.243368
0.625	0.211726
0.635	0.184283
0.645	0.161534
0.655	0.143479
0.665	0.129736
0.675	0.11969
0.685	0.112628
0.695	0.107847
0.705	0.104727
0.715	0.102761
0.725	0.101565
0.735	0.100862
0.745	0.100461
0.755	0.100239
0.765	0.100121
0.775	0.100059
0.785	0.100028
0.795	0.100013
0.805	0.100006
0.815	0.100003
0.825	0.100001
0.835	0.100001
0.845	0.1
0.855	0.1
0.865	0.1
0.875	0.1
0.885	0.1
0.895	0.1
0.905	0.1
0.915	0.1
0.925	0.1
0.935	0.1
0.945	0.1
0.955	0.1
0.965	0.1
0.975	0.1
0.985	0.1
0.995	0.1
