0 1.000000014901161e-01
1 1.000000014901161e-01
2 1.000000014901161e-01
3 1.000000014901161e-01
4 1.000000014901161e-01
5 1.000000014901161e-01
6 1.000000014901161e-01
7 1.000000014901161e-01
8 1.000000014901161e-01
9 1.000000014901161e-01
10 1.000000014901161e-01
11 1.000000014901161e-01
12 1.000000014901161e-01
13 1.000000014901161e-01
14 1.000000014901161e-01
15 1.000000014901161e-01
16 1.000000014901161e-01
17 1.000000014901161e-01
18 1.000000014901161e-01
19 1.000000014901161e-01
20 1.000000014901161e-01
21 1.000000685453415e-01
22 1.000001430511475e-01
23 1.000002175569534e-01
24 1.000009551644325e-01
25 1.000048965215683e-01
26 1.000213921070099e-01
27 1.000786051154137e-01
28 1.002481430768967e-01
29 1.006865054368973e-01
30 1.016914173960686e-01
31 1.037594377994537e-01
32 1.076184064149857e-01
33 1.142023429274559e-01
34 1.245447471737862e-01
35 1.395917534828186e-01
36 1.599712222814560e-01
37 1.857807040214539e-01
38 2.164644896984100e-01
39 2.508266568183899e-01
40 2.871879041194916e-01
41 3.236448168754578e-01
42 3.583655953407288e-01
43 3.898467719554901e-01
44 4.170770049095154e-01
45 4.395863711833954e-01
46 4.573909342288971e-01
47 4.708618521690369e-01
48 4.805548191070557e-01
49 4.870314598083496e-01
50 4.906950891017914e-01
51 4.916657209396362e-01
52 4.897156059741974e-01
53 4.842901229858398e-01
54 4.746276736259460e-01
55 4.599669277667999e-01
56 4.398000240325928e-01
57 4.141040146350861e-01
58 3.834789693355560e-01
59 3.491463065147400e-01
60 3.127995729446411e-01
61 2.763496041297913e-01
62 2.416319251060486e-01
63 2.101520150899887e-01
64 1.829216480255127e-01
65 1.604086011648178e-01
66 1.425876319408417e-01
67 1.290595084428787e-01
68 1.191969141364098e-01
69 1.122819706797600e-01
70 1.076134368777275e-01
71 1.045747995376587e-01
72 1.026659905910492e-01
73 1.015075147151947e-01
74 1.008275672793388e-01
75 1.004412770271301e-01
76 1.002286598086357e-01
77 1.001152023673058e-01
78 1.000564768910408e-01
79 1.000269427895546e-01
80 1.000125184655190e-01
81 1.000056713819504e-01
82 1.000025346875191e-01
83 1.000011190772057e-01
84 1.000005304813385e-01
85 1.000002846121788e-01
86 1.000001952052116e-01
87 1.000001132488251e-01
88 1.000000312924385e-01
89 1.000000014901161e-01
90 1.000000014901161e-01
91 1.000000014901161e-01
92 1.000000014901161e-01
93 1.000000014901161e-01
94 1.000000014901161e-01
95 1.000000014901161e-01
96 1.000000014901161e-01
97 1.000000014901161e-01
98 1.000000014901161e-01
99 1.000000014901161e-01
100 1.000000014901161e-01
