0.005	0.005	0.0488956
0.005	0.015	0.0488974
0.005	0.025	0.0489009
0.005	0.035	0.0489061
0.005	0.045	0.0489132
0.005	0.055	0.048922
0.005	0.065	0.0489327
0.005	0.075	0.0489452
0.005	0.085	0.0489595
0.005	0.095	0.0489757
0.005	0.105	0.0489937
0.005	0.115	0.0490136
0.005	0.125	0.0490354
0.005	0.135	0.0490591
0.005	0.145	0.0490846
0.005	0.155	0.049112
0.005	0.165	0.0491413
0.005	0.175	0.0491724
0.005	0.185	0.0492055
0.005	0.195	0.0492404
0.005	0.205	0.0492772
0.005	0.215	0.0493158
0.005	0.225	0.0493563
0.005	0.235	0.0493987
0.005	0.245	0.0494429
0.005	0.255	0.0494889
0.005	0.265	0.0495368
0.005	0.275	0.0495864
0.005	0.285	0.0496379
0.005	0.295	0.0496911
0.005	0.305	0.0497461
0.005	0.315	0.0498028
0.005	0.325	0.0498612
0.005	0.335	0.0499214
0.005	0.345	0.0499832
0.005	0.355	0.0500466
0.005	0.365	0.0501117
0.005	0.375	0.0501784
0.005	0.385	0.0502467
0.005	0.395	0.0503165
0.005	0.405	0.0503878
0.005	0.415	0.0504606
0.005	0.425	0.0505349
0.005	0.435	0.0506106
0.005	0.445	0.0506876
0.005	0.455	0.050766
0.005	0.465	0.0508457
0.005	0.475	0.0509267
0.005	0.485	0.0510089
0.005	0.495	0.0510923
0.005	0.505	0.0511769
0.005	0.515	0.0512626
0.005	0.525	0.0513493
0.005	0.535	0.051437
0.005	0.545	0.0515258
0.005	0.555	0.0516154
0.005	0.565	0.051706
0.005	0.575	0.0517973
0.005	0.585	0.0518895
0.005	0.595	0.0519823
0.005	0.605	0.0520759
0.005	0.615	0.0521701
0.005	0.625	0.0522648
0.005	0.635	0.0523601
0.005	0.645	0.0524558
0.005	0.655	0.052552
0.005	0.665	0.0526485
0.005	0.675	0.0527453
0.005	0.685	0.0528423
0.005	0.695	0.0529395
0.005	0.705	0.0530368
0.005	0.715	0.0531342
0.005	0.725	0.0532316
0.005	0.735	0.053329
0.005	0.745	0.0534262
0.005	0.755	0.0535232
0.005	0.765	0.05362
0.005	0.775	0.0537164
0.005	0.785	0.0538125
0.005	0.795	0.0539082
0.005	0.805	0.0540033
0.005	0.815	0.0540979
0.005	0.825	0.0541918
0.005	0.835	0.054285
0.005	0.845	0.0543775
0.005	0.855	0.0544691
0.005	0.865	0.0545598
0.005	0.875	0.0546496
0.005	0.885	0.0547383
0.005	0.895	0.0548259
0.005	0.905	0.0549123
0.005	0.915	0.0549975
0.005	0.925	0.0550814
0.005	0.935	0.0551639
0.005	0.945	0.0552449
0.005	0.955	0.0553244
0.005	0.965	0.0554024
0.005	0.975	0.0554787
0.005	0.985	0.0555532
0.005	0.995	0.0556252
0.015	0.005	0.0488933
0.015	0.015	0.048895
0.015	0.025	0.0488985
0.015	0.035	0.0489038
0.015	0.045	0.0489108
0.015	0.055	0.0489197
0.015	0.065	0.0489303
0.015	0.075	0.0489428
0.015	0.085	0.0489572
0.015	0.095	0.0489734
0.015	0.105	0.0489914
0.015	0.115	0.0490113
0.015	0.125	0.0490331
0.015	0.135	0.0490567
0.015	0.145	0.0490822
0.015	0.155	0.0491096
0.015	0.165	0.0491389
0.015	0.175	0.0491701
0.015	0.185	0.0492031
0.015	0.195	0.049238
0.015	0.205	0.0492748
0.015	0.215	0.0493135
0.015	0.225	0.049354
0.015	0.235	0.0493963
0.015	0.245	0.0494405
0.015	0.255	0.0494866
0.015	0.265	0.0495344
0.015	0.275	0.0495841
0.015	0.285	0.0496355
0.015	0.295	0.0496887
0.015	0.305	0.0497437
0.015	0.315	0.0498004
0.015	0.325	0.0498589
0.015	0.335	0.049919
0.015	0.345	0.0499808
0.015	0.355	0.0500443
0.015	0.365	0.0501093
0.015	0.375	0.050176
0.015	0.385	0.0502443
0.015	0.395	0.0503141
0.015	0.405	0.0503854
0.015	0.415	0.0504582
0.015	0.425	0.0505325
0.015	0.435	0.0506081
0.015	0.445	0.0506852
0.015	0.455	0.0507636
0.015	0.465	0.0508433
0.015	0.475	0.0509243
0.015	0.485	0.0510065
0.015	0.495	0.0510899
0.015	0.505	0.0511745
0.015	0.515	0.0512601
0.015	0.525	0.0513468
0.015	0.535	0.0514346
0.015	0.545	0.0515233
