0.00025	0
0.00075	0.0051411
0.00125	0.0103162
0.00175	0.0155567
0.00225	0.0208906
0.00275	0.0263485
0.00325	0.0319609
0.00375	0.037753
0.00425	0.0437435
0.00475	0.049966
0.00525	0.056443
0.00575	0.0631932
0.00625	0.0702263
0.00675	0.0775656
0.00725	0.0852252
0.00775	0.0932053
0.00825	0.101506
0.00875	0.110131
0.00925	0.119076
0.00975	0.128343
0.01025	0.13795
0.01075	0.147827
0.01125	0.15797
0.01175	0.168378
0.01225	0.178992
0.01275	0.189797
0.01325	0.200795
0.01375	0.211909
0.01425	0.22307
0.01475	0.234275
0.01525	0.245447
0.01575	0.256553
0.01625	0.267589
0.01675	0.278408
0.01725	0.289009
0.01775	0.299364
0.01825	0.309351
0.01875	0.318971
0.01925	0.328075
0.01975	0.336661
0.02025	0.344715
0.02075	0.352103
0.02125	0.358824
0.02175	0.364877
0.02225	0.370127
0.02275	0.374559
0.02325	0.378174
0.02375	0.380971
0.02425	0.38295
0.02475	0.38401
0.02525	0.384102
0.02575	0.383226
0.02625	0.381423
0.02675	0.378799
0.02725	0.375354
0.02775	0.371088
0.02825	0.366001
0.02875	0.360102
0.02925	0.353529
0.02975	0.346282
0.03025	0.338361
0.03075	0.329894
0.03125	0.3209
0.03175	0.311381
0.03225	0.301484
0.03275	0.29121
0.03325	0.280697
0.03375	0.269956
0.03425	0.258985
0.03475	0.247935
0.03525	0.236827
0.03575	0.225676
0.03625	0.214557
0.03675	0.203543
0.03725	0.192634
0.03775	0.181907
0.03825	0.171361
0.03875	0.16107
0.03925	0.151035
0.03975	0.141323
0.04025	0.131941
0.04075	0.122891
0.04125	0.114189
0.04175	0.105869
0.04225	0.097936
0.04275	0.0903902
0.04325	0.0832349
0.04375	0.0764673
0.04425	0.0700874
0.04475	0.0640955
0.04525	0.0584917
0.04575	0.0532562
0.04625	0.0483814
0.04675	0.0438487
0.04725	0.039653
0.04775	0.0357811
0.04825	0.0322146
0.04875	0.028935
0.04925	0.0259285
0.04975	0.0231796
0.05025	0.020676
0.05075	0.0183994
0.05125	0.0163346
0.05175	0.014469
0.05225	0.0127864
0.05275	0.0112729
0.05325	0.00991473
0.05375	0.0086991
0.05425	0.00761557
0.05475	0.00665142
0.05525	0.00579566
0.05575	0.00503842
0.05625	0.00436982
0.05675	0.00378121
0.05725	0.00326392
0.05775	0.00281095
0.05825	0.00241538
0.05875	0.00207032
0.05925	0.00177033
0.05975	0.00151036
0.06025	0.00128547
0.06075	0.00109159
0.06125	0.00092468
0.06175	0.000781471
0.06225	0.000658906
0.06275	0.000554234
0.06325	0.000465093
0.06375	0.00038939
0.06425	0.000325236
0.06475	0.000271026
0.06525	0.000225308
0.06575	0.000186863
0.06625	0.000154618
0.06675	0.000127635
0.06725	0.000105117
0.06775	8.63674e-05
0.06825	7.07966e-05
0.06875	5.78965e-05
0.06925	4.72368e-05
0.06975	3.84499e-05
0.07025	3.12238e-05
0.07075	2.52964e-05
0.07125	2.04464e-05
0.07175	1.64878e-05
0.07225	1.32642e-05
0.07275	1.06461e-05
0.07325	8.5248e-06
0.07375	6.8101e-06
0.07425	5.42767e-06
0.07475	4.31578e-06
0.07525	3.42358e-06
0.07575	2.70951e-06
0.07625	2.13936e-06
0.07675	1.68523e-06
0.07725	1.32441e-06
0.07775	1.0384e-06
0.07825	8.1226e-07
0.07875	6.33888e-07
0.07925	4.93525e-07
0.07975	3.83348e-07
0.08025	2.97074e-07
0.08075	2.29677e-07
0.08125	1.77156e-07
0.08175	1.36327e-07
0.08225	1.04663e-07
0.08275	8.01657e-08
0.08325	6.12592e-08
0.08375	4.67025e-08
0.08425	3.55219e-08
0.08475	2.69551e-08
0.08525	2.04066e-08
0.08575	1.54131e-08
0.08625	1.16144e-08
0.08675	8.73156e-09
0.08725	6.54898e-09
0.08775	4.90055e-09
0.08825	3.65852e-09
0.08875	2.72494e-09
0.08925	2.02487e-09
0.08975	1.50116e-09
0.09025	1.11032e-09
0.09075	8.1933e-10
0.09125	6.03199e-10
0.09175	4.43049e-10
0.09225	3.24663e-10
0.09275	2.37355e-10
0.09325	1.7312e-10
0.09375	1.25968e-10
0.09425	9.14356e-11
0.09475	6.62003e-11
0.09525	4.77955e-11
0.09575	3.43943e-11
0.09625	2.46449e-11
0.09675	1.75487e-11
0.09725	1.23666e-11
0.09775	8.55021e-12
0.09825	5.68849e-12
0.09875	3.46783e-12
0.09925	1.64061e-12
0.09975	0
